country_code,main_activity_code,main_activity_name,citl_information,year,value
CZ,20-99,20-99 All stationary installations,4.3 Surrendered emission reduction units (ERUs),2012,14896480
CZ,21-99,21-99 All industrial installations (excl. combustion),4.3 Surrendered emission reduction units (ERUs),2012,1991284
CZ,24,24 Production of pig iron or steel,4.3 Surrendered emission reduction units (ERUs),2012,1100000
CZ,25,25 Production or processing of ferrous metals,4.3 Surrendered emission reduction units (ERUs),2012,1904
CZ,29,29 Production of cement clinker,4.3 Surrendered emission reduction units (ERUs),2012,514058
CZ,30,"30 Production of lime, or calcination of dolomite/magnesite",4.3 Surrendered emission reduction units (ERUs),2012,145015
CZ,31,31 Manufacture of glass,4.3 Surrendered emission reduction units (ERUs),2012,24367
CZ,32,32 Manufacture of ceramics,4.3 Surrendered emission reduction units (ERUs),2012,139463
CZ,36,36 Production of paper or cardboard,4.3 Surrendered emission reduction units (ERUs),2012,4365
CZ,42,42 Production of bulk chemicals,4.3 Surrendered emission reduction units (ERUs),2012,62112
CZ,10,10 Aviation,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),56346
CZ,20,20 Combustion of fuels,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),14782219
CZ,20-99,20-99 All stationary installations,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),18735943
CZ,21-99,21-99 All industrial installations (excl. combustion),4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),3953724
CZ,24,24 Production of pig iron or steel,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),2952758
CZ,25,25 Production or processing of ferrous metals,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),1904
CZ,29,29 Production of cement clinker,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),564058
CZ,30,"30 Production of lime, or calcination of dolomite/magnesite",4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),151625
CZ,31,31 Manufacture of glass,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),45367
CZ,32,32 Manufacture of ceramics,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),146440
CZ,35,35 Production of pulp,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),25095
CZ,36,36 Production of paper or cardboard,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),4365
CZ,42,42 Production of bulk chemicals,4.3 Surrendered emission reduction units (ERUs),Total 2nd trading period (08-12),62112
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,2020,148
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,2021,280
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,2022,133
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,2023,95
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,2024,60
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,Total 3rd trading period (13-20),148
CZ,10,10 Aviation,4.4 Surrendered Units CHU/CHUAA,Total 4th trading period (21-30),568
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2005,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2005,382721478
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,493482295
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2005,25591695
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2005,110760817
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2005,3598120
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2005,355426
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2005,29951824
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2005,82000
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2005,18904
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2005,14285
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2005,23131823
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2005,10538861
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2005,4638721
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2005,2509562
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2005,1929171
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2005,7540817
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2005,12972
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2005,846636
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2006,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2006,384205872
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2006,495488263
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2006,25778943
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2006,111282391
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2006,3598120
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2006,355426
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2006,29966506
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2006,82000
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2006,18904
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2006,14285
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2006,23308133
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2006,10538861
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2006,4677161
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2006,2541312
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2006,1947319
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2006,7595813
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2006,12972
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2006,846636
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2007,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2007,386496305
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2007,497302479
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2007,25290103
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2007,110806174
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2007,3598120
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2007,355426
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2007,29987322
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2007,82000
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2007,18904
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2007,14285
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2007,23827983
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2007,10478309
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2007,4655124
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2007,2189505
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2007,1917534
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2007,7533824
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2007,12972
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2007,844763
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2008,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2008,248280319
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,436930024.2
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2008,24579452
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2008,140479062
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2008,2421936
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2008,711875
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2008,57441167
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2008,390835
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2008,9933
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2008,20579991
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2008,11247471
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2008,4082460
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2008,3498909
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2008,362194
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2008,856166
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2008,7073671
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2008,803417
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2008,15719
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2008,6403866
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2009,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2009,250185273
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2009,431880267.2
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2009,24072392
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2009,141529351
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2009,2421936
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2009,711875
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2009,57514428
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2009,390835
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2009,9933
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2009,20641126
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2009,12027088
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2009,4221700
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2009,3505794
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2009,362194
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2009,856166
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2009,7427898
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2009,803417
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2009,15719
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2009,6546850
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2010,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2010,256233149
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,440676525.2
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2010,26393858
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2010,144260233
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2010,2611365
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2010,711875
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2010,57498649
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2010,333277
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2010,9933
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2010,21154242
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2010,12167256
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2010,4341281
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2010,3480363
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2010,385131
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2010,551484
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2010,7414074
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2010,803417
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2010,15719
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2010,6388309
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2011,0
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2011,256798835
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,440489301.2
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2011,25024460
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2011,143974323
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2011,2485079
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2011,711875
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2011,58177060
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2011,529361
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2011,9933
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2011,20965931
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2011,12394840
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2011,4689181
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2011,3476008
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2011,454113
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2011,561695
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2011,7274189
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2011,803417
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2011,15719
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2011,6401462
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2012,35765369.75697315
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2012,279026842
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,471629241.2
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2012,25225745
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2012,145453756
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2012,2485079
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2012,711875
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2012,58250608
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2012,475432
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2012,155546
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2012,21181291
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2012,12382259
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2012,4629907
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2012,3438261
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2012,418846
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2012,621412
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2012,8078872
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2012,803417
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2012,15719
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2012,6579487
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2013,5201208
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2013,36099719
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2013,375762120
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2013,19636260
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2013,133570901
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2013,1802824
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2013,71249
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2013,45758987
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2013,3727172
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2013,1111217
DE,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2013,432801
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2013,1198559
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2013,18873193
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2013,7869747
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2013,3138653
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2013,1998279
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2013,294700
DE,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2013,252412
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2013,266536
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2013,6755593
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2013,580571
DE,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2013,770431
DE,39,39 Production of adipic acid,1. Total allocated allowances (EUA or EUAA),2013,1087840
DE,40,40 Production of glyoxal and glyoxylic acid,1. Total allocated allowances (EUA or EUAA),2013,8474
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2013,3927033
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2013,9798199
DE,43,43 Production of hydrogen and synthesis gas,1. Total allocated allowances (EUA or EUAA),2013,3082804
DE,44,44 Production of soda ash and sodium bicarbonate,1. Total allocated allowances (EUA or EUAA),2013,1127367
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2014,5190453
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2014,33107120
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,292257959
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2014,19572025
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2014,132023339
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2014,1769969
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2014,70011
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2014,45028253
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2014,3632702
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2014,1252019
DE,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2014,425285
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2014,1177739
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2014,18545249
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2014,7863861
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2014,3219575
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2014,1953199
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2014,295637
DE,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2014,310028
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2014,260806
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2014,6598977
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2014,567348
DE,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2014,757049
DE,39,39 Production of adipic acid,1. Total allocated allowances (EUA or EUAA),2014,1068946
DE,40,40 Production of glyoxal and glyoxylic acid,1. Total allocated allowances (EUA or EUAA),2014,8326
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2014,3857476
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2014,9649893
DE,43,43 Production of hydrogen and synthesis gas,1. Total allocated allowances (EUA or EUAA),2014,3031342
DE,44,44 Production of soda ash and sodium bicarbonate,1. Total allocated allowances (EUA or EUAA),2014,1107624
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2015,7370883
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2015,30077356
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,302896610
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2015,18527074
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2015,128925754
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2015,1738556
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2015,68759
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2015,44334674
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2015,3603746
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2015,1201262
DE,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2015,417683
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2015,1160032
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2015,18213458
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2015,7674889
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2015,3169101
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2015,1900942
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2015,290238
DE,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2015,304485
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2015,255634
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2015,6423711
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2015,553703
DE,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2015,743511
DE,39,39 Production of adipic acid,1. Total allocated allowances (EUA or EUAA),2015,1049829
DE,40,40 Production of glyoxal and glyoxylic acid,1. Total allocated allowances (EUA or EUAA),2015,8178
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2015,3735982
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2015,9457715
DE,43,43 Production of hydrogen and synthesis gas,1. Total allocated allowances (EUA or EUAA),2015,3004935
DE,44,44 Production of soda ash and sodium bicarbonate,1. Total allocated allowances (EUA or EUAA),2015,1087657
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2016,6003645
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2016,28200768
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,315591868
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2016,17837593
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2016,126620600
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2016,1705461
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2016,67494
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2016,43814909
DE,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2016,3431512
DE,26,26 Production of primary aluminium,1. Total allocated allowances (EUA or EUAA),2016,1179030
DE,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2016,633365
DE,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2016,1154971
DE,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2016,17939453
DE,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2016,7601552
DE,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2016,3086208
DE,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2016,1854614
DE,33,33 Manufacture of mineral wool,1. Total allocated allowances (EUA or EUAA),2016,284792
DE,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2016,298882
DE,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2016,254178
DE,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2016,6208643
DE,37,37 Production of carbon black,1. Total allocated allowances (EUA or EUAA),2016,540037
DE,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2016,729831
DE,39,39 Production of adipic acid,1. Total allocated allowances (EUA or EUAA),2016,1030514
DE,40,40 Production of glyoxal and glyoxylic acid,1. Total allocated allowances (EUA or EUAA),2016,8027
DE,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2016,3666588
DE,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2016,9236049
DE,43,43 Production of hydrogen and synthesis gas,1. Total allocated allowances (EUA or EUAA),2016,2989406
DE,44,44 Production of soda ash and sodium bicarbonate,1. Total allocated allowances (EUA or EUAA),2016,1067491
DE,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2017,5853306
DE,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2017,26101115
DE,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2017,347082937
DE,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2017,17735385
DE,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2017,124161822
DE,22,22 Production of coke,1. Total allocated allowances (EUA or EUAA),2017,1672075
DE,23,23 Metal ore roasting or sintering,1. Total allocated allowances (EUA or EUAA),2017,66215
DE,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2017,43015870
